Player,Nation,Pos,Age,MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Matches,Playing Time_Mn/MP,Playing Time_Min%,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off
Fermin López,es ESP,MF,22-319,9,9,682.0,7.6,6.0,4.0,10.0,6.0,0.0,0.0,2.0,0.0,0.79,0.53,1.32,0.79,1.32,Matches,76.0,75.8,9,76.0,2,0,,0,2.22,24.0,14.0,10.0,1.32,0.08
Jules Koundé,fr FRA,DF,27-134,8,8,704.0,7.8,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,0.26,0.13,0.38,0.26,0.38,Matches,88.0,78.2,8,88.0,7,0,,0,2.0,20.0,14.0,6.0,0.77,-2.45
Pau Cubarsí,es ESP,DF,19-063,9,8,699.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,78.0,77.7,8,87.0,7,1,1.0,1,1.89,23.0,11.0,12.0,1.55,1.1
Lamine Yamal,es ESP,MF,18-256,8,8,691.0,7.7,5.0,4.0,9.0,2.0,3.0,3.0,4.0,0.0,0.65,0.52,1.17,0.26,0.78,Matches,86.0,76.8,8,86.0,5,0,,0,1.75,22.0,14.0,8.0,1.04,-1.11
Eric García,es ESP,"DF,MF",25-076,9,8,610.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,68.0,67.8,8,75.0,4,1,10.0,1,2.11,18.0,14.0,4.0,0.59,-2.2
Joan García,es ESP,GK,24-326,7,7,621.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,89.0,69.0,7,89.0,6,0,,0,2.29,20.0,11.0,9.0,1.3,0.01
Gerard Martín,es ESP,DF,24-028,10,7,610.0,6.8,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.15,0.15,0.0,0.15,Matches,61.0,67.8,7,83.0,4,3,9.0,0,2.0,22.0,8.0,14.0,2.07,2.38
Pedri,es ESP,MF,23-121,7,7,556.0,6.2,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.32,0.0,0.32,Matches,79.0,61.8,7,79.0,3,0,,0,2.29,20.0,8.0,12.0,1.94,1.68
Robert Lewandowski,pl POL,FW,37-217,9,7,551.0,6.1,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.65,0.0,0.65,0.65,0.65,Matches,61.0,61.2,7,71.0,1,2,26.0,0,1.89,19.0,10.0,9.0,1.47,0.44
Raphinha,br BRA,MF,29-102,7,6,544.0,6.0,3.0,2.0,5.0,2.0,1.0,1.0,0.0,0.0,0.5,0.33,0.83,0.33,0.66,Matches,78.0,60.4,6,86.0,5,1,29.0,0,2.29,20.0,9.0,11.0,1.82,1.31
Alejandro Balde,es ESP,DF,22-159,7,6,516.0,5.7,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.17,0.17,0.0,0.17,Matches,74.0,57.3,6,83.0,1,1,19.0,0,1.86,17.0,12.0,5.0,0.87,-1.0
Frenkie de Jong,nl NED,MF,28-318,7,5,507.0,5.6,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.18,0.18,0.0,0.18,Matches,72.0,56.3,5,90.0,5,2,29.0,0,1.86,14.0,11.0,3.0,0.53,-1.76
Marcus Rashford,eng ENG,"MF,FW",28-146,9,4,484.0,5.4,5.0,3.0,8.0,5.0,0.0,0.0,0.0,0.0,0.93,0.56,1.49,0.93,1.49,Matches,54.0,53.8,4,81.0,1,5,32.0,1,1.89,18.0,8.0,10.0,1.86,1.21
